year,name,price,mileage,location,page,url,model,mileage_mid
2020,2020 Honda CIVIC 1.8 S (A) U/Warranty,89800.0,70000 - 74999,Johor,89,https://www.mudah.my/2020-honda-civic-1-8-s-a-u-warranty-108731583.htm,civic,72499.5
2020,2020 Honda CIVIC 1.5 TC-P (A),107800.0,70000 - 74999,Johor,89,https://www.mudah.my/2020-honda-civic-1-5-tc-p-a-108731573.htm,civic,72499.5
2008,2008 Honda CIVIC 2.0 i-VTEC (A),38800.0,160000 - 169999,Kelantan,89,https://www.mudah.my/2008-honda-civic-2-0-i-vtec-a-108393716.htm,civic,164999.5
2020,2020 Honda CITY 1.5 E (A),59800.0,70000 - 74999,Kedah,89,https://www.mudah.my/2020-honda-city-1-5-e-a-108731557.htm,city,72499.5
2020,2020 Honda CIVIC 1.5L (FK7)Sunroof Gred 5A(Auto),156000.0,25000 - 29999,Penang,89,https://www.mudah.my/2020-honda-civic-1-5l-fk7-sunroof-gred-5a-auto-108605345.htm,civic,27499.5
2016,2016 Honda CR-V 2.4 4WD FACELIFT (A) OFFER,53999.0,75000 - 79999,Johor,89,https://www.mudah.my/2016-honda-cr-v-2-4-4wd-facelift-a-offer-105221585.htm,cr-v,77499.5
2018,2018 Honda CIVIC 1.8 S i-VTEC (A) WAranthy 1 yr,73800.0,100000 - 109999,Penang,89,https://www.mudah.my/2018-honda-civic-1-8-s-i-vtec-a-waranthy-1-yr-108731379.htm,civic,104999.5
2016,2016 Honda CITY 1.5 E (A) CAR WARRANTY FREE,35888.0,85000 - 89999,Kuala Lumpur,89,https://www.mudah.my/2016-honda-city-1-5-e-a-car-warranty-free-108731536.htm,city,87499.5
2015,2015 Honda CITY 1.5 V (A) PUSH START MODULO KIT,39888.0,95000 - 99999,Selangor,89,https://www.mudah.my/2015-honda-city-1-5-v-a-push-start-modulo-kit-108280007.htm,city,97499.5
2016,2016 Honda CITY 1.5 V SPEC (A) FSR HM 2017,45888.0,100000 - 109999,Selangor,89,https://www.mudah.my/2016-honda-city-1-5-v-spec-a-fsr-hm-2017-108345927.htm,city,104999.5
2022,2022 Honda CIVIC 1.5 V (A) RS FULL RECORD 25KM,117888.0,20000 - 24999,Selangor,89,https://www.mudah.my/2022-honda-civic-1-5-v-a-rs-full-record-25km-108628935.htm,civic,22499.5
2014,2014 Honda JAZZ 1.5 V (A)  L0AN KEDAI BLH,46800.0,170000 - 179999,Johor,89,https://www.mudah.my/2014-honda-jazz-1-5-v-a-l0an-kedai-blh-108171125.htm,jazz,174999.5
2020,2020 Honda CIVIC 1.5 TC-P (A) Facelift Full Record,105000.0,40000 - 44999,Johor,89,https://www.mudah.my/2020-honda-civic-1-5-tc-p-a-facelift-full-record-108731484.htm,civic,42499.5
2017,2017 Honda JAZZ 1.5 E (A),49723.0,95000 - 99999,Selangor,89,https://www.mudah.my/2017-honda-jazz-1-5-e-a-107898858.htm,jazz,97499.5
2013,2013 Honda CITY 1.5 E FACELIFT (A) CAR WARNTY FREE,26888.0,100000 - 109999,Kuala Lumpur,89,https://www.mudah.my/2013-honda-city-1-5-e-facelift-a-car-warnty-free-108731473.htm,city,104999.5
2023,2023 Honda CR-V 1.5 TC-P 4WD Warranty Until 2028,136800.0,45000 - 49999,Perak,89,https://www.mudah.my/2023-honda-cr-v-1-5-tc-p-4wd-warranty-until-2028-108594300.htm,cr-v,47499.5
2019,2019 Honda JAZZ 1.5 E FACELIFT (A) FREE WARRANTY,56888.0,50000 - 54999,Kuala Lumpur,89,https://www.mudah.my/2019-honda-jazz-1-5-e-facelift-a-free-warranty-107264307.htm,jazz,52499.5
2023,2023 Honda City 1.5 (A) L/New Warranty Until 2028,68800.0,10000 - 14999,Perak,89,https://www.mudah.my/2023-honda-city-1-5-a-l-new-warranty-until-2028-108594274.htm,city,12499.5
2014,2014 Honda ODYSSEY 2.4 EXV (A),89800.0,80000 - 84999,Johor,89,https://www.mudah.my/2014-honda-odyssey-2-4-exv-a-108624722.htm,odyssey,82499.5
2019,2019 Honda CR-V 2.0 2WD (A) 1 OWNER [WARRANTY],84900.0,70000 - 74999,Selangor,90,https://www.mudah.my/2019-honda-cr-v-2-0-2wd-a-1-owner-warranty-108731241.htm,cr-v,72499.5
2016,Honda HR-V 1.8 V HI SPEC (A) P/START 1OWN WARRANTY,46900.0,90000 - 94999,Selangor,90,https://www.mudah.my/honda-hr-v-1-8-v-hi-spec-a-p-start-1own-warranty-108731233.htm,hr-v,92499.5
2014,Honda JAZZ 1.5 FACELIFT (A) 1 OWNER [WARRANTY],31900.0,95000 - 99999,Selangor,90,https://www.mudah.my/honda-jazz-1-5-facelift-a-1-owner-warranty-108731230.htm,jazz,97499.5
2010,2010 Honda CITY 1.5 E MODULO (A) with Paddle Shift,19800.0,100000 - 109999,Kuala Lumpur,90,https://www.mudah.my/2010-honda-city-1-5-e-modulo-a-with-paddle-shift-108731265.htm,city,104999.5
2007,2007 Honda CIVIC 2.0 i-VTEC (A),36999.0,200000 - 249999,Selangor,90,https://www.mudah.my/2007-honda-civic-2-0-i-vtec-a-108668768.htm,civic,224999.5
2016,2016 Honda CIVIC 1.5 TC-PREMIUM (A),78800.0,60000 - 64999,Johor,90,https://www.mudah.my/2016-honda-civic-1-5-tc-premium-a-108370746.htm,civic,62499.5
2023,2023 Honda CIVIC 2.0 TYPE R (FL5) Manual Gearbox,305000.0,20000 - 24999,Kuala Lumpur,90,https://www.mudah.my/2023-honda-civic-2-0-type-r-fl5-manual-gearbox-108731166.htm,civic,22499.5
2009,2009 Honda CITY 1.5 i-VTEC (A),20800.0,140000 - 149999,Penang,90,https://www.mudah.my/2009-honda-city-1-5-i-vtec-a-108731322.htm,city,144999.5
2019,2019 Honda CR-V 2.0 2WD (A),88500.0,50000 - 54999,Melaka,90,https://www.mudah.my/2019-honda-cr-v-2-0-2wd-a-108408319.htm,cr-v,52499.5
2020,2020 Honda STEPWAGON 1.5 SPADA COOL SPIRIT (5A),168000.0,25000 - 29999,Kuala Lumpur,90,https://www.mudah.my/2020-honda-stepwagon-1-5-spada-cool-spirit-5a-104539564.htm,stepwagon,27499.5
2013,2013 Honda CR-Z 1.5 FACELIFT SPORT PLUS F/BODYKIT,36900.0,70000 - 74999,Kuala Lumpur,90,https://www.mudah.my/2013-honda-cr-z-1-5-facelift-sport-plus-f-bodykit-107216155.htm,cr-z,72499.5
2022,Honda CIVIC 1.5 V (A) FE VTEC TURBO DIRECT OWNER,109800.0,40000 - 44999,Kuala Lumpur,90,https://www.mudah.my/honda-civic-1-5-v-a-fe-vtec-turbo-direct-owner-108540364.htm,civic,42499.5
2011,Honda CR-V 2.0 i-VTEC FACELIFT (A) ORI PAINT,26800.0,110000 - 119999,Kuala Lumpur,90,https://www.mudah.my/honda-cr-v-2-0-i-vtec-facelift-a-ori-paint-108629638.htm,cr-v,114999.5
2012,2012 Honda CR-V 2.0 LIMITED (A) LEATHER MODULO,29800.0,110000 - 119999,Kuala Lumpur,90,https://www.mudah.my/2012-honda-cr-v-2-0-limited-a-leather-modulo-108586596.htm,cr-v,114999.5
2014,2014 Honda CIVIC 2.0 NAVI (A) FULL LOAN/LOAN KEDAI,38990.0,80000 - 84999,Selangor,90,https://www.mudah.my/2014-honda-civic-2-0-navi-a-full-loan-loan-kedai-107267424.htm,civic,82499.5
2016,2016 Honda HR-V 1.8 V (A),49800.0,140000 - 149999,Kuala Lumpur,90,https://www.mudah.my/2016-honda-hr-v-1-8-v-a-108730933.htm,hr-v,144999.5
2014,2014 Honda CITY 1.5 E (A),35000.0,150000 - 159999,Penang,90,https://www.mudah.my/2014-honda-city-1-5-e-a-108730913.htm,city,154999.5
2022,2022 Honda CIVIC 1.5 RS (A) Low mileage,126800.0,25000 - 29999,Johor,90,https://www.mudah.my/2022-honda-civic-1-5-rs-a-low-mileage-108689256.htm,civic,27499.5
